# vim:set tabstop=38:
THROTTLE_FULL	Set throttles max
MIXTURE4_INCR_SMALL	Increment mixture lever 4 small
MIXTURE4_DECR	Decrement mixture lever 4
MIXTURE4_LEAN	Set mixture lever 4 to max lean
MIXTURE_SET	Set mixture levers to exact value (0 to 16383)
MIXTURE_RICH	Set mixture levers to max rich
MIXTURE_INCR	Increment mixture levers
MIXTURE_INCR_SMALL	Increment mixture levers small
MIXTURE_DECR	Decrement mixture levers
MIXTURE_LEAN	Set mixture levers to max lean
MIXTURE1_SET	Set mixture lever 1 exact value (0 to 16383)
MIXTURE2_SET	Set mixture lever 2 exact value (0 to 16383)
MIXTURE3_SET	Set mixture lever 3 exact value (0 to 16383)
MIXTURE4_SET	Set mixture lever 4 exact value (0 to 16383)
AXIS_MIXTURE_SET	Set mixture lever 1 exact value (-16383 to +16383)
AXIS_MIXTURE1_SET	Set mixture lever 1 exact value (-16383 to +16383)
AXIS_MIXTURE2_SET	Set mixture lever 2 exact value (-16383 to +16383)
AXIS_MIXTURE3_SET	Set mixture lever 3 exact value (-16383 to +16383)
AXIS_MIXTURE4_SET	Set mixture lever 4 exact value (-16383 to +16383)
MIXTURE_SET_BEST	Set mixture levers to current best power setting
MIXTURE_DECR_SMALL	Decrement mixture levers small
MIXTURE1_DECR_SMALL	Decrement mixture lever 1 small
MIXTURE2_DECR_SMALL	Decrement mixture lever 4 small
MIXTURE3_DECR_SMALL	Decrement mixture lever 4 small
MIXTURE4_DECR_SMALL	Decrement mixture lever 4 small
PROP_PITCH_SET	Set prop pitch levers (0 to 16383)
PROP_PITCH_LO	Set prop pitch levers max (lo pitch)
PROP_PITCH_INCR	Increment prop pitch levers
PROP_PITCH_INCR_SMALL	Increment prop pitch levers small
PROP_PITCH_DECR	Decrement prop pitch levers
PROP_PITCH_HI	Set prop pitch levers min (hi pitch)
PROP_PITCH1_SET	Set prop pitch lever 1 exact value (0 to 16383)
PROP_PITCH2_SET	Set prop pitch lever 2 exact value (0 to 16383)
PROP_PITCH3_SET	Set prop pitch lever 3 exact value (0 to 16383)
PROP_PITCH4_SET	Set prop pitch lever 4 exact value (0 to 16383)
PROP_PITCH1_LO	Set prop pitch lever 1 max (lo pitch)
PROP_PITCH1_INCR	Increment prop pitch lever 1
PROP_PITCH1_INCR_SMALL	Increment prop pitch lever 1 small
PROP_PITCH1_DECR	Decrement prop pitch lever 1
PROP_PITCH1_HI	Set prop pitch lever 1 min (hi pitch)
PROP_PITCH2_LO	Set prop pitch lever 2 max (lo pitch)
PROP_PITCH2_INCR	Increment prop pitch lever 2
PROP_PITCH2_INCR_SMALL	Increment prop pitch lever 2 small
PROP_PITCH2_DECR	Decrement prop pitch lever 2
PROP_PITCH2_HI	Set prop pitch lever 2 min (hi pitch)
PROP_PITCH3_LO	Set prop pitch lever 3 max (lo pitch)
PROP_PITCH3_INCR	Increment prop pitch lever 3
PROP_PITCH3_INCR_SMALL	Increment prop pitch lever 3 small
PROP_PITCH3_DECR	Decrement prop pitch lever 3
PROP_PITCH3_HI	Set prop pitch lever 3 min (hi pitch)
PROP_PITCH4_LO	Set prop pitch lever 4 max (lo pitch)
PROP_PITCH4_INCR	Increment prop pitch lever 4
PROP_PITCH4_INCR_SMALL	Increment prop pitch lever 4 small
PROP_PITCH4_DECR	Decrement prop pitch lever 4
PROP_PITCH4_HI	Set prop pitch lever 4 min (hi pitch)
AXIS_PROPELLER_SET	Set propeller levers exact value (-16383 to +16383)
AXIS_PROPELLER1_SET	Set propeller lever 1 exact value (-16383 to +16383)
AXIS_PROPELLER2_SET	Set propeller lever 2 exact value (-16383 to +16383)
AXIS_PROPELLER3_SET	Set propeller lever 3 exact value (-16383 to +16383)
AXIS_PROPELLER4_SET	Set propeller lever 4 exact value (-16383 to +16383)
JET_STARTER	Selects jet engine starter (for +/- sequence)
MAGNETO_SET	Sets magnetos (0,1)
TOGGLE_STARTER1	Toggle starter 1
TOGGLE_STARTER2	Toggle starter 2
TOGGLE_STARTER3	Toggle starter 3
TOGGLE_STARTER4	Toggle starter 4
TOGGLE_ALL_STARTERS	Toggle starters
ENGINE_AUTO_START	Triggers auto-start
ENGINE_AUTO_SHUTDOWN	Triggers auto-shutdown
MAGNETO	Selects magnetos (for +/- sequence)
MAGNETO_DECR	Decrease magneto switches positions
MAGNETO_INCR	Increase magneto switches positions
MAGNETO1_OFF	Set engine 1 magnetos off
MAGNETO1_RIGHT	Toggle engine 1 right magneto
MAGNETO1_LEFT	Toggle engine 1 left magneto
MAGNETO1_BOTH	Set engine 1 magnetos on
MAGNETO1_START	Set engine 1 magnetos on and toggle starter
MAGNETO2_OFF	Set engine 2 magnetos off
MAGNETO2_RIGHT	Toggle engine 2 right magneto
MAGNETO2_LEFT	Toggle engine 2 left magneto
MAGNETO2_BOTH	Set engine 2 magnetos on
MAGNETO2_START	Set engine 2 magnetos on and toggle starter
MAGNETO3_OFF	Set engine 3 magnetos off
MAGNETO3_RIGHT	Toggle engine 3 right magneto
MAGNETO3_LEFT	Toggle engine 3 left magneto
MAGNETO3_BOTH	Set engine 3 magnetos on
MAGNETO3_START	Set engine 3 magnetos on and toggle starter
MAGNETO4_OFF	Set engine 4 magnetos off
MAGNETO4_RIGHT	Toggle engine 4 right magneto
MAGNETO4_LEFT	Toggle engine 4 left magneto
MAGNETO4_BOTH	Set engine 4 magnetos on
MAGNETO4_START	Set engine 4 magnetos on and toggle starter
MAGNETO_OFF	Set engine magnetos off
MAGNETO_RIGHT	Set engine right magnetos on
MAGNETO_LEFT	Set engine left magnetos on
MAGNETO_BOTH	Set engine magnetos on
MAGNETO_START	Set engine magnetos on and toggle starters
MAGNETO1_DECR	Decrease engine 1 magneto switch position
MAGNETO1_INCR	Increase engine 1 magneto switch position
MAGNETO2_DECR	Decrease engine 2 magneto switch position
MAGNETO2_INCR	Increase engine 2 magneto switch position
MAGNETO3_DECR	Decrease engine 3 magneto switch position
MAGNETO3_INCR	Increase engine 3 magneto switch position
MAGNETO4_DECR	Decrease engine 4 magneto switch position
MAGNETO4_INCR	Increase engine 4 magneto switch position
Not supported	Set engine magneto switches
MAGNETO1_SET	Set engine 1 magneto switch
MAGNETO2_SET	Set engine 2 magneto switch
MAGNETO3_SET	Set engine 3 magneto switch
MAGNETO4_SET	Set engine 4 magneto switch
ANTI_ICE_ON	Sets anti-ice switches on
ANTI_ICE_OFF	Sets anti-ice switches off
ANTI_ICE_SET	Sets anti-ice switches from argument (0,1)
ANTI_ICE_TOGGLE	Toggle anti-ice switches
ANTI_ICE_TOGGLE_ENG1	Toggle engine 1 anti-ice switch
ANTI_ICE_TOGGLE_ENG2	Toggle engine 2 anti-ice switch
ANTI_ICE_TOGGLE_ENG3	Toggle engine 3 anti-ice switch
ANTI_ICE_TOGGLE_ENG4	Toggle engine 4 anti-ice switch
ANTI_ICE_SET_ENG1	Sets engine 1 anti-ice switch (0,1)
ANTI_ICE_SET_ENG2	Sets engine 2 anti-ice switch (0,1)
ANTI_ICE_SET_ENG3	Sets engine 3 anti-ice switch (0,1)
ANTI_ICE_SET_ENG4	Sets engine 4 anti-ice switch (0,1)
TOGGLE_FUEL_VALVE_ALL	Toggle engine fuel valves
TOGGLE_FUEL_VALVE_ENG1	Toggle engine 1 fuel valve
TOGGLE_FUEL_VALVE_ENG2	Toggle engine 2 fuel valve
TOGGLE_FUEL_VALVE_ENG3	Toggle engine 3 fuel valve
TOGGLE_FUEL_VALVE_ENG4	Toggle engine 4 fuel valve
COWLFLAP1_SET	Sets engine 1 cowl flap lever position (0 to 16383)
COWLFLAP2_SET	Sets engine 2 cowl flap lever position (0 to 16383)
COWLFLAP3_SET	Sets engine 3 cowl flap lever position (0 to 16383)
COWLFLAP4_SET	Sets engine 4 cowl flap lever position (0 to 16383)
INC_COWL_FLAPS	Increment cowl flap levers
DEC_COWL_FLAPS	Decrement cowl flap levers
INC_COWL_FLAPS1	Increment engine 1 cowl flap lever
DEC_COWL_FLAPS1	Decrement engine 1 cowl flap lever
INC_COWL_FLAPS2	Increment engine 2 cowl flap lever
DEC_COWL_FLAPS2	Decrement engine 2 cowl flap lever
INC_COWL_FLAPS3	Increment engine 3 cowl flap lever
DEC_COWL_FLAPS3	Decrement engine 3 cowl flap lever
INC_COWL_FLAPS4	Increment engine 4 cowl flap lever
DEC_COWL_FLAPS4	Decrement engine 4 cowl flap lever
FUEL_PUMP	Toggle electric fuel pumps
TOGGLE_ELECT_FUEL_PUMP	Toggle electric fuel pumps
TOGGLE_ELECT_FUEL_PUMP1	Toggle engine 1 electric fuel pump
TOGGLE_ELECT_FUEL_PUMP2	Toggle engine 2 electric fuel pump
TOGGLE_ELECT_FUEL_PUMP3	Toggle engine 3 electric fuel pump
TOGGLE_ELECT_FUEL_PUMP4	Toggle engine 4 electric fuel pump
ENGINE_PRIMER	Trigger engine primers
TOGGLE_PRIMER	Trigger engine primers
TOGGLE_PRIMER1	Trigger engine 1 primer
TOGGLE_PRIMER2	Trigger engine 2 primer
TOGGLE_PRIMER3	Trigger engine 3 primer
TOGGLE_PRIMER4	Trigger engine 4 primer
TOGGLE_FEATHER_SWITCHES	Trigger propeller switches
TOGGLE_FEATHER_SWITCH_1	Trigger propeller 1 switch
TOGGLE_FEATHER_SWITCH_2	Trigger propeller 2 switch
TOGGLE_FEATHER_SWITCH_3	Trigger propeller 3 switch
TOGGLE_FEATHER_SWITCH_4	Trigger propeller 4 switch
TOGGLE_PROPELLER_SYNC	Turns propeller synchronization switch on
TOGGLE_AUTOFEATHER_ARM	Turns auto-feather arming switch on.
TOGGLE_AFTERBURNER	Toggles afterburners
TOGGLE_AFTERBURNER1	Toggles engine 1 afterburner
TOGGLE_AFTERBURNER2	Toggles engine 2 afterburner
TOGGLE_AFTERBURNER3	Toggles engine 3 afterburner
TOGGLE_AFTERBURNER4	Toggles engine 4 afterburner
ENGINE	Sets engines for 1,2,3,4 selection (to be followed by SELECT_n)


SPOILERS_TOGGLE	Toggles spoiler handle
FLAPS_UP	Sets flap handle to full retract position
FLAPS_1	Sets flap handle to first extension position
FLAPS_2	Sets flap handle to second extension position
FLAPS_3	Sets flap handle to third extension position
FLAPS_DOWN	Sets flap handle to full extension position
ELEV_TRIM_DN	Increments elevator trim down
ELEV_DOWN	Increments elevator down
AILERONS_LEFT	Increments ailerons left
CENTER_AILER_RUDDER	Centers aileron and rudder positions
AILERONS_RIGHT	Increments ailerons right
ELEV_TRIM_UP	Increment elevator trim up
ELEV_UP	Increments elevator up
RUDDER_LEFT	Increments rudder left
RUDDER_CENTER	Centers rudder position
RUDDER_RIGHT	Increments rudder right
ELEVATOR_SET	Sets elevator position (-16383 - +16383)
AILERON_SET	Sets aileron position (-16383 - +16383)
RUDDER_SET	Sets rudder position (-16383 - +16383)
FLAPS_INCR	Increments flap handle position
FLAPS_DECR	Decrements flap handle position
AXIS_ELEVATOR_SET	Sets elevator position (-16383 - +16383)
AXIS_AILERONS_SET	Sets aileron position (-16383 - +16383)
AXIS_RUDDER_SET	Sets rudder position (-16383 - +16383)
AXIS_ELEV_TRIM_SET	Sets elevator trim position (-16383 - +16383)
SPOILERS_SET	Sets spoiler handle position (0 to 16383)
SPOILERS_ARM_TOGGLE	Toggles arming of auto-spoilers
SPOILERS_ON	Sets spoiler handle to full extend position
SPOILERS_OFF	Sets spoiler handle to full retract position
SPOILERS_ARM_ON	Sets auto-spoiler arming on
SPOILERS_ARM_OFF	Sets auto-spoiler arming off
SPOILERS_ARM_SET	Sets auto-spoiler arming (0,1)
AILERON_TRIM_LEFT	Increments aileron trim left
AILERON_TRIM_RIGHT	Increments aileron trim right
RUDDER_TRIM_LEFT	Increments rudder trim left
RUDDER_TRIM_RIGHT	Increments aileron trim right
AXIS_SPOILER_SET	Sets spoiler handle position (-16383 - +16383)
FLAPS_SET	Sets flap handle to closest increment (0 to 16383)
ELEVATOR_TRIM_SET	Sets elevator trim position (0 to 16383)
AXIS_FLAPS_SET	Sets flap handle to closest increment (-16383 - +16383)

AP_MASTER	Toggles AP on/off
AUTOPILOT_OFF	Turns AP off
AUTOPILOT_ON	Turns AP on
YAW_DAMPER_TOGGLE	Toggles yaw damper on/off
AP_PANEL_HEADING_HOLD	Toggles heading hold mode on/off
AP_PANEL_ALTITUDE_HOLD	Toggles altitude hold mode on/off
AP_ATT_HOLD_ON	Turns on AP wing leveler and pitch hold mode
AP_LOC_HOLD_ON	Turns AP localizer hold on/armed and glide-slope hold mode off
AP_APR_HOLD_ON	Turns both AP localizer and glide-slope modes on/armed
AP_HDG_HOLD_ON	Turns heading hold mode on
AP_ALT_HOLD_ON	Turns altitude hold mode on
AP_WING_LEVELER_ON	Turns wing leveler mode on
AP_BC_HOLD_ON	Turns localizer back course hold mode on/armed
AP_NAV1_HOLD_ON	Turns lateral hold mode on
AP_ATT_HOLD_OFF	Turns off attitude hold mode
AP_LOC_HOLD_OFF	Turns off localizer hold mode
AP_APR_HOLD_OFF	Turns off approach hold mode
AP_HDG_HOLD_OFF	Turns off heading hold mode
AP_ALT_HOLD_OFF	Turns off altitude hold mode
AP_WING_LEVELER_OFF	Turns off wing leveler mode
AP_BC_HOLD_OFF	Turns off backcourse mode for localizer hold
AP_NAV1_HOLD_OFF	Turns off nav hold mode
AP_AIRSPEED_HOLD	Toggles airspeed hold mode
AUTO_THROTTLE_ARM	Toggles autothrottle arming mode
AUTO_THROTTLE_TO_GA	Toggles Takeoff/Go Around mode
HEADING_BUG_INC	Increments heading hold reference bug
HEADING_BUG_DEC	Decrements heading hold reference bug
HEADING_BUG_SET	Set heading hold reference bug (degrees)
AP_PANEL_SPEED_HOLD	Toggles airspeed hold mode
AP_ALT_VAR_INC	Increments reference altitude
AP_ALT_VAR_DEC	Decrements reference altitude
AP_VS_VAR_INC	Increments vertical speed reference
AP_VS_VAR_DEC	Decrements vertical speed reference
AP_SPD_VAR_INC	Increments airspeed hold reference
AP_SPD_VAR_DEC	Decrements airspeed hold reference
AP_PANEL_MACH_HOLD	Toggles mach hold
AP_MACH_VAR_INC	Increments reference mach
AP_MACH_VAR_DEC	Decrements reference mach
AP_MACH_HOLD	Toggles mach hold
AP_ALT_VAR_SET_METRIC	Sets reference altitude in meters
AP_VS_VAR_SET_ENGLISH	Sets reference vertical speed in feet per minute
AP_SPD_VAR_SET	Sets airspeed reference in knots
AP_MACH_VAR_SET	Sets mach reference
YAW_DAMPER_ON	Turns yaw damper on
YAW_DAMPER_OFF	Turns yaw damper off
YAW_DAMPER_SET	Sets yaw damper on/off (1,0)
AP_AIRSPEED_ON	Turns airspeed hold on
AP_AIRSPEED_OFF	Turns airspeed hold off
AP_AIRSPEED_SET	Sets airspeed hold on/off (1,0)
AP_MACH_ON	Turns mach hold on
AP_MACH_OFF	Turns mach hold off
AP_MACH_SET	Sets mach hold on/off (1,0)
AP_PANEL_ALTITUDE_ON	Turns altitude hold mode on (without capturing current altitude)
AP_PANEL_ALTITUDE_OFF	Turns altitude hold mode off
AP_PANEL_ALTITUDE_SET	Sets altitude hold mode on/off (1,0)
AP_PANEL_HEADING_ON	Turns heading mode on (without capturing current heading)
AP_PANEL_HEADING_OFF	Turns heading mode off
AP_PANEL_HEADING_SET	Set heading mode on/off (1,0)
AP_PANEL_MACH_ON	Turns on mach hold
AP_PANEL_MACH_OFF	Turns off mach hold
AP_PANEL_MACH_SET	Sets mach hold on/off (1,0)
AP_PANEL_SPEED_ON	Turns on speed hold mode
AP_PANEL_SPEED_OFF	Turns off speed hold mode
AP_PANEL_SPEED_SET	Set speed hold mode on/off (1,0)
AP_ALT_VAR_SET_ENGLISH	Sets altitude reference in feet
AP_VS_VAR_SET_METRIC	Sets vertical speed reference in meters per minute
TOGGLE_FLIGHT_DIRECTOR	Toggles flight director on/off
SYNC_FLIGHT_DIRECTOR_PITCH	Synchronizes flight director pitch with current aircraft pitch
INCREASE_AUTOBRAKE_CONTROL	Increments autobrake level
DECREASE_AUTOBRAKE_CONTROL	Decrements autobrake level
AP_PANEL_SPEED_HOLD_TOGGLE	Turns airspeed hold mode on with current airspeed
AP_PANEL_MACH_HOLD_TOGGLE	Sets mach hold reference to current mach
AP_NAV_SELECT_SET	Sets the nav (1 or 2) which is used by the Nav hold modes
HEADING_BUG_SELECT	Selects the heading bug for use with +/-
ALTITUDE_BUG_SELECT	Selects the altitude reference for use with +/-
VSI_BUG_SELECT	Selects the vertical speed reference for use with +/-
AIRSPEED_BUG_SELECT	Selects the airspeed reference for use with +/-
AP_PITCH_REF_INC_UP	Increments the pitch reference for pitch hold mode
AP_PITCH_REF_INC_DN	Decrements the pitch reference for pitch hold mode
AP_PITCH_REF_SELECT	Selects pitch reference for use with +/-
AP_ATT_HOLD	Toggle attitude hold mode
AP_LOC_HOLD	Toggles localizer (only) hold mode
AP_APR_HOLD	Toggles approach hold (localizer and glide-slope)
AP_HDG_HOLD	Toggles heading hold mode
AP_ALT_HOLD	Toggles altitude hold mode
AP_WING_LEVELER	Toggles wing leveler mode
AP_BC_HOLD	Toggles the backcourse mode for the localizer hold
AP_NAV1_HOLD	Toggles the nav hold mode
AP_MAX_BANK_INC	Autopilot max bank angle increment.
AP_MAX_BANK_DEC	Autopilot max bank angle decrement.
AP_N1_HOLD	Autopilot, hold the N1 percentage at its current level.
AP_N1_REF_INC	Increment the autopilot N1 reference.
AP_N1_REF_DEC	Decrement the autopilot N1 reference.
AP_N1_REF_SET	Sets the autopilot N1 reference.
FLY_BY_WIRE_ELAC_TOGGLE	Turn on or off the fly by wire Elevators and Ailerons computer.
FLY_BY_WIRE_FAC_TOGGLE	Turn on or off the fly by wire Flight Augmentation computer.
FLY_BY_WIRE_SEC_TOGGLE	Turn on or off the fly by wire Spoilers and Elevators computer.



G1000_PFD_FLIGHTPLAN_BUTTON	The primary flight display (PFD) should display its current flight plan.
G1000_PFD_PROCEDURE_BUTTON	Turn to the Procedure page.
G1000_PFD_ZOOMIN_BUTTON	Zoom in on the current map.
G1000_PFD_ZOOMOUT_BUTTON	Zoom out on the current map.
G1000_PFD_DIRECTTO_BUTTON	Turn to the Direct To page.
G1000_PFD_MENU_BUTTON	If a segmented flight plan is highlighted, activates the associated menu.
G1000_PFD_CLEAR_BUTTON	Clears the current input.
G1000_PFD_ENTER_BUTTON	Enters the current input.
G1000_PFD_CURSOR_BUTTON	Turns on or off a screen cursor.
G1000_PFD_GROUP_KNOB_INC	Step up through the page groups.
G1000_PFD_GROUP_KNOB_DEC	Step down through the page groups.
G1000_PFD_PAGE_KNOB_INC	Step up through the individual pages.
G1000_PFD_PAGE_KNOB_DEC	Step down through the individual pages.
G1000_PFD_SOFTKEY1	G1000 Softkey 1
G1000_PFD_SOFTKEY2	G1000 Softkey 2
G1000_PFD_SOFTKEY3	G1000 Softkey 3
G1000_PFD_SOFTKEY4	G1000 Softkey 4
G1000_PFD_SOFTKEY5	G1000 Softkey 5
G1000_PFD_SOFTKEY6	G1000 Softkey 6
G1000_PFD_SOFTKEY7	G1000 Softkey 7
G1000_PFD_SOFTKEY8	G1000 Softkey 8
G1000_PFD_SOFTKEY9	G1000 Softkey 9
G1000_PFD_SOFTKEY10	G1000 Softkey 10
G1000_PFD_SOFTKEY11	G1000 Softkey 11
G1000_PFD_SOFTKEY12	G1000 Softkey 12


G1000_MFD_FLIGHTPLAN_BUTTON	The multifunction display (MFD) should display its current flight plan.
G1000_MFD_PROCEDURE_BUTTON	Turn to the Procedure page.
G1000_MFD_ZOOMIN_BUTTON	Zoom in on the current map.
G1000_MFD_ZOOMOUT_BUTTON	Zoom out on the current map.
G1000_MFD_DIRECTTO_BUTTON	Turn to the Direct To page.
G1000_MFD_MENU_BUTTON	If a segmented flight plan is highlighted, activates the associated menu.
G1000_MFD_CLEAR_BUTTON	Clears the current input.
G1000_MFD_ENTER_BUTTON	Enters the current input.
G1000_MFD_CURSOR_BUTTON	Turns on or off a screen cursor.
G1000_MFD_GROUP_KNOB_INC	Step up through the page groups.
G1000_MFD_GROUP_KNOB_DEC	Step down through the page groups.
G1000_MFD_PAGE_KNOB_INC	Step up through the individual pages.
G1000_MFD_PAGE_KNOB_DEC	Step down through the individual pages.
G1000_MFD_SOFTKEY1	G1000 Softkey 1
G1000_MFD_SOFTKEY2	G1000 Softkey 2
G1000_MFD_SOFTKEY3	G1000 Softkey 3
G1000_MFD_SOFTKEY4	G1000 Softkey 4
G1000_MFD_SOFTKEY5	G1000 Softkey 5
G1000_MFD_SOFTKEY6	G1000 Softkey 6
G1000_MFD_SOFTKEY7	G1000 Softkey 7
G1000_MFD_SOFTKEY8	G1000 Softkey 8
G1000_MFD_SOFTKEY9	G1000 Softkey 9
G1000_MFD_SOFTKEY10	G1000 Softkey 10
G1000_MFD_SOFTKEY11	G1000 Softkey 11
G1000_MFD_SOFTKEY12	G1000 Softkey 12



FUEL_SELECTOR_OFF	Turns selector 1 to OFF position
FUEL_SELECTOR_ALL	Turns selector 1 to ALL position
FUEL_SELECTOR_LEFT	Turns selector 1 to LEFT position (burns from tip then aux then main)
FUEL_SELECTOR_RIGHT	Turns selector 1 to RIGHT position (burns from tip then aux then main)
FUEL_SELECTOR_LEFT_AUX	Turns selector 1 to LEFT AUX position
FUEL_SELECTOR_RIGHT_AUX	Turns selector 1 to RIGHT AUX position
FUEL_SELECTOR_CENTER	Turns selector 1 to CENTER position
FUEL_SELECTOR_SET	Sets selector 1 position (see code list below)
FUEL_SELECTOR_2_OFF	Turns selector 2 to OFF position
FUEL_SELECTOR_2_ALL	Turns selector 2 to ALL position
FUEL_SELECTOR_2_LEFT	Turns selector 2 to LEFT position (burns from tip then aux then main)
FUEL_SELECTOR_2_RIGHT	Turns selector 2 to RIGHT position (burns from tip then aux then main)
FUEL_SELECTOR_2_LEFT_AUX	Turns selector 2 to LEFT AUX position
FUEL_SELECTOR_2_RIGHT_AUX	Turns selector 2 to RIGHT AUX position
FUEL_SELECTOR_2_CENTER	Turns selector 2 to CENTER position
FUEL_SELECTOR_2_SET	Sets selector 2 position (see code list below)
FUEL_SELECTOR_3_OFF	Turns selector 3 to OFF position
FUEL_SELECTOR_3_ALL	Turns selector 3 to ALL position
FUEL_SELECTOR_3_LEFT	Turns selector 3 to LEFT position (burns from tip then aux then main)
FUEL_SELECTOR_3_RIGHT	Turns selector 3 to RIGHT position (burns from tip then aux then main)
FUEL_SELECTOR_3_LEFT_AUX	Turns selector 3 to LEFT AUX position
FUEL_SELECTOR_3_RIGHT_AUX	Turns selector 3 to RIGHT AUX position
FUEL_SELECTOR_3_CENTER	Turns selector 3 to CENTER position
FUEL_SELECTOR_3_SET	Sets selector 3 position (see code list below)
FUEL_SELECTOR_4_OFF	Turns selector 4 to OFF position
FUEL_SELECTOR_4_ALL	Turns selector 4 to ALL position
FUEL_SELECTOR_4_LEFT	Turns selector 4 to LEFT position (burns from tip then aux then main)
FUEL_SELECTOR_4_RIGHT	Turns selector 4 to RIGHT position (burns from tip then aux then main)
FUEL_SELECTOR_4_LEFT_AUX	Turns selector 4 to LEFT AUX position
FUEL_SELECTOR_4_RIGHT_AUX	Turns selector 4 to RIGHT AUX position
FUEL_SELECTOR_4_CENTER	Turns selector 4 to CENTER position
FUEL_SELECTOR_4_SET	Sets selector 4 position (see code list below)
CROSS_FEED_OPEN	Opens cross feed valve (when used in conjunction with "isolate" tank)
CROSS_FEED_TOGGLE	Toggles crossfeed valve (when used in conjunction with "isolate" tank)
CROSS_FEED_OFF	Closes crossfeed valve (when used in conjunction with "isolate" tank)
FUEL_DUMP_SWITCH_SET	Set to True or False. The switch can only be set to True if fuel_dump_rate is specified in the aircraft configuration file, which indicates that a fuel dump system exists.
ANTIDETONATION_TANK_VALVE_TOGGLE	Toggle the antidetonation valve. Pass a value to determine which tank, if there are multiple tanks, to use. Tanks are indexed from 1. Refer to the document Notes on Aircraft Systems.
NITROUS_TANK_VALVE_TOGGLE	Toggle the nitrous valve. Pass a value to determine which tank, if there are multiple tanks, to use. Tanks are indexed from 1.
REPAIR_AND_REFUEL	Fully repair and refuel the user aircraft. Ignored if flight realism is enforced.
