:flags=0
SIM_START	Start simulation
VOR1_SET	Sets OBS 1 (0 to 360)
VOR2_SET	Sets OBS 2 (0 to 360)
DME1_TOGGLE	Sets DME display to Nav 1
DME2_TOGGLE	Sets DME display to Nav 2
RADIO_VOR1_IDENT_DISABLE	Turns NAV 1 ID off
RADIO_VOR2_IDENT_DISABLE	Turns NAV 2 ID off
RADIO_DME1_IDENT_DISABLE	Turns DME 1 ID off
RADIO_DME2_IDENT_DISABLE	Turns DME 2 ID off
RADIO_ADF_IDENT_DISABLE	Turns ADF 1 ID off
RADIO_VOR1_IDENT_ENABLE	Turns NAV 1 ID on
RADIO_VOR2_IDENT_ENABLE	Turns NAV 2 ID on
RADIO_DME1_IDENT_ENABLE	Turns DME 1 ID on
RADIO_DME2_IDENT_ENABLE	Turns DME 2 ID on
RADIO_ADF_IDENT_ENABLE	Turns ADF 1 ID on
RADIO_VOR1_IDENT_TOGGLE	Toggles NAV 1 ID
RADIO_VOR2_IDENT_TOGGLE	Toggles NAV 2 ID
RADIO_DME1_IDENT_TOGGLE	Toggles DME 1 ID
RADIO_DME2_IDENT_TOGGLE	Toggles DME 2 ID
RADIO_ADF_IDENT_TOGGLE	Toggles ADF 1 ID
RADIO_VOR1_IDENT_SET	Sets NAV 1 ID (on/off)
RADIO_VOR2_IDENT_SET	Sets NAV 2 ID (on/off)
RADIO_DME1_IDENT_SET	Sets DME 1 ID (on/off)
RADIO_DME2_IDENT_SET	Sets DME 2 ID (on/off)
RADIO_ADF_IDENT_SET	Sets ADF 1 ID (on/off)
ADF_CARD_INC	Increments ADF card
ADF_CARD_DEC	Decrements ADF card
ADF_CARD_SET	Sets ADF card (0-360)
TOGGLE_DME	Toggles between NAV 1 and NAV 2
AVIONICS_MASTER_SET	Sets the avionics master switch
TOGGLE_AVIONICS_MASTER	Toggles the avionics master switch
COM_STBY_RADIO_SET	Sets COM 1 standby frequency (BCD Hz)
COM_STBY_RADIO_SWAP	Swaps COM 1 frequency with standby
COM_RADIO_FRACT_DEC_CARRY	Decrement COM 1 frequency by 25 KHz, and carry when digit wraps
COM_RADIO_FRACT_INC_CARRY	Increment COM 1 frequency by 25 KHz, and carry when digit wraps
COM2_RADIO_WHOLE_DEC	Decrement COM 2 frequency by 1 MHz, with no carry when digit wraps
COM2_RADIO_WHOLE_INC	Increment COM 2 frequency by 1 MHz, with no carry when digit wraps
COM2_RADIO_FRACT_DEC	Decrement COM 2 frequency by 25 KHz, with no carry when digit wraps
COM2_RADIO_FRACT_DEC_CARRY	Decrement COM 2 frequency by 25 KHz, and carry when digit wraps
COM2_RADIO_FRACT_INC	Increment COM 2 frequency by 25 KHz, with no carry when digit wraps
COM2_RADIO_FRACT_INC_CARRY	Increment COM 2 frequency by 25 KHz, and carry when digit wraps
COM2_RADIO_SET	Sets COM 2 frequency (BCD Hz)
COM2_STBY_RADIO_SET	Sets COM 2 standby frequency (BCD Hz)
COM2_RADIO_SWAP	Swaps COM 2 frequency with standby
NAV1_RADIO_FRACT_DEC_CARRY	Decrement NAV 1 frequency by 50 KHz, and carry when digit wraps
NAV1_RADIO_FRACT_INC_CARRY	Increment NAV 1 frequency by 50 KHz, and carry when digit wraps
NAV1_STBY_SET	Sets NAV 1 standby frequency (BCD Hz)
NAV1_RADIO_SWAP	Swaps NAV 1 frequency with standby
NAV2_RADIO_FRACT_DEC_CARRY	Decrement NAV 2 frequency by 50 KHz, and carry when digit wraps
NAV2_RADIO_FRACT_INC_CARRY	Increment NAV 2 frequency by 50 KHz, and carry when digit wraps
NAV2_STBY_SET	Sets NAV 2 standby frequency (BCD Hz)
NAV2_RADIO_SWAP	Swaps NAV 2 frequency with standby
ADF1_RADIO_TENTHS_DEC	Decrements ADF 1 by 0.1 KHz.
ADF1_RADIO_TENTHS_INC	Increments ADF 1 by 0.1 KHz.
XPNDR_1000_DEC	Decrements first digit of transponder
XPNDR_100_DEC	Decrements second digit of transponder
XPNDR_10_DEC	Decrements third digit of transponder
XPNDR_1_DEC	Decrements fourth digit of transponder
XPNDR_DEC_CARRY	Decrements fourth digit of transponder, and with carry.
XPNDR_INC_CARRY	Increments fourth digit of transponder, and with carry.
ADF_FRACT_DEC_CARRY	Decrements ADF 1 frequency by 0.1 KHz, with carry
ADF_FRACT_INC_CARRY	Increments ADF 1 frequency by 0.1 KHz, with carry
COM1_TRANSMIT_SELECT	Selects COM 1 to transmit
COM2_TRANSMIT_SELECT	Selects COM 2 to transmit
COM_RECEIVE_ALL_TOGGLE	Toggles all COM radios to receive on
COM_RECEIVE_ALL_SET	Sets whether to receive on all COM radios (1,0)
MARKER_SOUND_TOGGLE	Toggles marker beacon sound on/off
ADF_COMPLETE_SET	Sets ADF 1 frequency (BCD Hz)
ADF1_WHOLE_INC	Increments ADF 1 by 1 KHz, with carry as digits wrap.
ADF1_WHOLE_DEC	Decrements ADF 1 by 1 KHz, with carry as digits wrap.
ADF2_100_INC	Increments the ADF 2 frequency 100 digit, with wrapping
ADF2_10_INC	Increments the ADF 2 frequency 10 digit, with wrapping
ADF2_1_INC	Increments the ADF 2 frequency 1 digit, with wrapping
ADF2_RADIO_TENTHS_INC	Increments ADF 2 frequency 1/10 digit, with wrapping
ADF2_100_DEC	Decrements the ADF 2 frequency 100 digit, with wrapping
ADF2_10_DEC	Decrements the ADF 2 frequency 10 digit, with wrapping
ADF2_1_DEC	Decrements the ADF 2 frequency 1 digit, with wrapping
ADF2_RADIO_TENTHS_DEC	Decrements ADF 2 frequency 1/10 digit, with wrapping
ADF2_WHOLE_INC	Increments ADF 2 by 1 KHz, with carry as digits wrap.
ADF2_WHOLE_DEC	Decrements ADF 2 by 1 KHz, with carry as digits wrap.
ADF2_FRACT_DEC_CARRY	Decrements ADF 2 frequency by 0.1 KHz, with carry
ADF2_FRACT_INC_CARRY	Increments ADF 2 frequency by 0.1 KHz, with carry
ADF2_COMPLETE_SET	Sets ADF 1 frequency (BCD Hz)
RADIO_ADF2_IDENT_DISABLE	Turns ADF 2 ID off
RADIO_ADF2_IDENT_ENABLE	Turns ADF 2 ID on
RADIO_ADF2_IDENT_TOGGLE	Toggles ADF 2 ID
RADIO_ADF2_IDENT_SET	Sets ADF 2 ID on/off (1,0)
FREQUENCY_SWAP	Swaps frequency with standby on whichever NAV or COM radio is selected.
DME_SELECT	Selects one of the two DME systems (1,2).
RADIO_SELECTED_DME_IDENT_ENABLE	Turns on the identification sound for the selected DME.
RADIO_SELECTED_DME_IDENT_DISABLE	Turns off the identification sound for the selected DME.
RADIO_SELECTED_DME_IDENT_SET	Sets the DME identification sound to the given filename.
RADIO_SELECTED_DME_IDENT_TOGGLE	Turns on or off the identification sound for the selected DME.

STROBES_TOGGLE	Toggle strobe lights
ALL_LIGHTS_TOGGLE	Toggle all lights
PANEL_LIGHTS_TOGGLE	Toggle panel lights
LANDING_LIGHTS_TOGGLE	Toggle landing lights
LANDING_LIGHT_UP	Rotate landing light up
LANDING_LIGHT_DOWN	Rotate landing light down
LANDING_LIGHT_LEFT	Rotate landing light left
LANDING_LIGHT_RIGHT	Rotate landing light right
LANDING_LIGHT_HOME	Return landing light to default position
STROBES_ON	Turn strobe lights on
STROBES_OFF	Turn strobe light off
STROBES_SET	Set strobe lights on/off (1,0)
PANEL_LIGHTS_ON	Turn panel lights on
PANEL_LIGHTS_OFF	Turn panel lights off
PANEL_LIGHTS_SET	Set panel lights on/off (1,0)
LANDING_LIGHTS_ON	Turn landing lights on
LANDING_LIGHTS_OFF	Turn landing lights off
LANDING_LIGHTS_SET	Set landing lights on/off (1,0)
TOGGLE_BEACON_LIGHTS	Toggle beacon lights
TOGGLE_TAXI_LIGHTS	Toggle taxi lights
TOGGLE_LOGO_LIGHTS	Toggle logo lights
TOGGLE_RECOGNITION_LIGHTS	Toggle recognition lights
TOGGLE_WING_LIGHTS	Toggle wing lights
TOGGLE_NAV_LIGHTS	Toggle navigation lights
TOGGLE_CABIN_LIGHTS	Toggle cockpit/cabin lights

# vim:set tabstop=38:
